,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
52,2014,14,Jamaal Charles,0,0,Cardinals,0,0,0,0,0,0,23.0,RB,0,1,20,2,0,10,1,91,1,Cardinals,0,1,1,Chiefs,264,14,13.0,DST,126,5.0,0,390,0,0
53,2014,15,Jamaal Charles,0,0,Raiders,0,0,0,0,0,0,5.0,RB,0,0,1,1,0,12,0,52,0,Raiders,0,1,0,Chiefs,295,31,3.0,DST,93,1.0,0,388,0,1
54,2014,16,Jamaal Charles,0,1,Steelers,0,0,0,0,0,0,5.0,RB,0,0,48,5,0,9,0,29,1,Steelers,0,1,0,Chiefs,288,12,15.0,DST,39,6.0,0,327,0,0
55,2014,17,Jamaal Charles,0,0,Chargers,0,0,0,0,0,0,5.0,RB,0,0,8,2,0,13,0,54,0,Chargers,0,0,0,Chiefs,140,19,8.0,DST,111,4.0,0,251,0,1
56,2012,1,Jamaal Charles,0,0,Falcons,0,0,0,0,0,0,8.0,RB,0,0,0,0,0,16,0,87,0,Falcons,0,1,2,Chiefs,241,24,10.0,DST,152,3.0,0,393,0,1
57,2012,2,Jamaal Charles,0,0,Bills,0,0,0,0,0,0,1.0,RB,0,0,19,3,0,6,0,3,1,Bills,0,2,1,Chiefs,272,17,21.0,DST,150,5.0,0,422,1,0
58,2012,3,Jamaal Charles,0,0,Saints,0,0,0,0,0,0,34.0,RB,0,0,55,6,0,33,1,233,1,Saints,0,2,1,Chiefs,237,27,10.0,DST,273,3.0,0,510,0,0
59,2012,4,Jamaal Charles,0,2,Chargers,0,0,0,0,0,0,20.0,RB,0,1,23,3,0,17,1,88,0,Chargers,0,3,3,Chiefs,234,20,24.0,DST,115,2.0,0,349,1,1
60,2012,5,Jamaal Charles,0,0,Ravens,0,0,0,0,0,0,16.0,RB,0,0,21,2,0,31,0,140,0,Ravens,0,2,2,Chiefs,124,6,18.0,DST,214,0.0,0,338,0,1
61,2012,6,Jamaal Charles,0,0,Buccaneers,0,0,0,0,0,0,4.0,RB,0,0,7,2,0,12,0,40,1,Buccaneers,0,0,2,Chiefs,180,10,17.0,DST,80,0.0,0,260,1,0
62,2012,8,Jamaal Charles,0,0,Raiders,0,0,0,0,0,0,0.0,RB,0,0,6,3,0,5,0,4,0,Raiders,0,2,2,Chiefs,197,16,15.0,DST,102,3.0,0,299,0,1
63,2012,9,Jamaal Charles,0,0,Chargers,0,0,0,0,0,0,5.0,RB,0,0,27,3,0,12,0,39,1,Chargers,0,3,1,Chiefs,176,13,28.0,DST,113,1.0,0,289,2,0
64,2012,10,Jamaal Charles,0,0,Steelers,0,0,0,0,0,0,16.0,RB,0,0,0,0,0,23,1,100,1,Steelers,0,0,1,Chiefs,148,13,11.0,DST,142,2.0,0,290,0,0
65,2012,11,Jamaal Charles,0,0,Bengals,0,0,0,0,0,0,11.0,RB,0,0,31,4,0,17,0,87,0,Bengals,0,1,0,Chiefs,171,6,16.0,DST,113,4.0,0,284,0,1
66,2012,12,Jamaal Charles,0,0,Broncos,0,0,0,0,0,0,10.0,RB,0,0,0,0,0,23,0,107,0,Broncos,0,0,1,Chiefs,116,9,11.0,DST,148,2.0,0,264,0,1
67,2012,13,Jamaal Charles,0,0,Panthers,0,0,0,0,0,0,13.0,RB,0,0,11,4,0,27,0,127,0,Panthers,0,0,0,Chiefs,197,27,2.0,DST,158,1.0,0,355,0,1
68,2012,14,Jamaal Charles,0,0,Browns,0,0,0,0,0,0,22.0,RB,0,0,0,0,0,18,1,165,1,Browns,0,0,1,Chiefs,130,7,20.0,DST,180,5.0,0,310,1,0
69,2012,15,Jamaal Charles,0,0,Raiders,0,0,0,0,0,0,2.0,RB,0,0,18,3,0,9,0,10,1,Raiders,0,0,1,Chiefs,109,0,16.0,DST,10,4.0,0,119,0,0
70,2012,16,Jamaal Charles,0,1,Colts,0,0,0,0,0,0,27.0,RB,0,0,4,1,0,22,1,226,0,Colts,0,1,2,Chiefs,155,13,20.0,DST,352,1.0,0,507,1,1
71,2012,17,Jamaal Charles,0,0,Broncos,0,0,0,0,0,0,6.0,RB,0,0,14,1,0,14,0,53,1,Broncos,0,0,0,Chiefs,26,3,14.0,DST,93,4.0,0,119,0,0
